재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월 	당기 1분기 누적 	전기 1분기 3개월 	전기 1분기 누적 	전기	전전기
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_NonOperatingProfitLoss	      기타순손익	55,428,000	55,428,000				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익	27,444,649,000	27,444,649,000				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주 기본주당순이익	721	721				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주 희석주당순이익	721	721				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	entity00148540_BasicEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract	         신형우선주 기본주당이익	708	708				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	entity00148540_DilutedEarningsLossPerShareOfNewPreferenceSharesOfEarningsPerShareAbstract	         신형우선주 희석주당이익	708	708				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본주당순이익	708	708				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주 희석주당순이익	708	708				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	2,746,644,000	2,746,644,000				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	386,961,000	386,961,000				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	1,363,258,000	1,363,258,000				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_OperatingExpense	      영업비용	23,222,396,000	23,222,396,000				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	      분기순이익	23,777,136,000	23,777,136,000				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익	25,140,394,000	25,140,394,000				
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_Revenue	      매출액	50,667,045,000	50,667,045,000				
