재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월 	당기 1분기 누적 	전기 1분기 3개월 	전기 1분기 누적 	전기	전전기
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_NonOperatingExpense	      기타영업외비용	104,150,244,000	104,150,244,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_NonOperatingIncome	      기타영업외수익	55,566,906,000	55,566,906,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익	534,964,591,000	534,964,591,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비	2,531,832,803,000	2,531,832,803,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CostOfSales	      매출원가	7,533,641,717,000	7,533,641,717,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주 기본주당순이익	2,086	2,086				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주 희석주당순이익	2,086	2,086				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	entity00148540_BasicEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주 주당순이익	2,074	2,074				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	entity00148540_DilutedEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주 희석주당순이익	2,074	2,074				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본주당순이익	2,074	2,074				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주 희석주당순이익	2,074	2,074				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	448,633,338,000	448,633,338,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	208,744,691,000	208,744,691,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	3,066,797,394,000	3,066,797,394,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	133,037,138,000	133,037,138,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	      분기순이익	136,435,994,000	136,435,994,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분	66,879,237,000	66,879,237,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업의 소유주	69,556,757,000	69,556,757,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익	269,473,132,000	269,473,132,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_Revenue	      매출액	10,600,439,111,000	10,600,439,111,000				
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	      공동기업 및 관계기업투자주식에  대한 지분법손익	22,980,526,000	22,980,526,000				
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	85,366,748,157	85,366,748,157	109,365,332,567	109,365,332,567		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	dart_OtherGains	      기타이익	2,206,459,434	2,206,459,434	3,595,107,495	3,595,107,495		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	dart_OtherLosses	      기타손실	6,065,807,155	6,065,807,155	5,745,766,896	5,745,766,896		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CostOfSales	      매출원가	2,683,645,405,719	2,683,645,405,719	2,593,862,354,613	2,593,862,354,613		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         지배기업 소유주 기본주당이익	1,600	1,600	2,328	2,328		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         지배기업 소유주 희석주당이익	1,600	1,600	2,328	2,328		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	      금융원가	60,210,062,677	60,210,062,677	49,141,367,747	49,141,367,747		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	23,984,886,721	23,984,886,721	15,566,713,276	15,566,713,276		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	308,940,139,476	308,940,139,476	327,563,538,867	327,563,538,867		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	11,803,683,370	11,803,683,370	19,831,948,833	19,831,948,833		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	      분기순이익	40,977,283,248	40,977,283,248	55,434,587,929	55,434,587,929		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분	5,122,648,138	5,122,648,138	6,170,055,470	6,170,055,470		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업 소유주 귀속 분기순이익	35,854,635,110	35,854,635,110	49,264,532,459	49,264,532,459		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익	52,780,966,618	52,780,966,618	75,266,536,762	75,266,536,762		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_Revenue	      매출액	2,992,585,545,195	2,992,585,545,195	2,921,425,893,480	2,921,425,893,480		
손익계산서, 기능별 분류 - 연결	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2025-03-31	1분기보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      판매비와관리비	223,573,391,319	223,573,391,319	218,198,206,300	218,198,206,300		
