재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_ReversalsOfImpairmentLossesOfFinancialAssets	            신용손실충당금 환입액	0		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	         비지배지분	0		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_InvestmentIncomeExpenses	      투자손익	22,640,423,078		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_OperatingExpenseInvestment	         투자영업비용	214,352,573,410		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_AdditionalImpairmentLossesOfFinancialAssets	            신용손실충당금 전입액	781,445,379		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_FinanceExpensesFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융비용	862,762,521		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융비용	91,586,103,188		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련손실	4,788,540,663		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련손실	40,453,960,866		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_LossesFromDerivatives	            파생상품관련비용	42,434,630,309		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_OtherOperatingExpenseInvestment	            기타투자비용	5,509,897,081		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ForeignExchangeLoss	            외화거래손실	8,335,853,070		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_InterestExpense	            금융부채의 이자비용	18,768,120,032		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	            재산관리비	831,260,301		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_InvestmentIncome	         투자영업수익	236,992,996,488		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_FinanceIncomeFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융수익	467,349,217		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_GainFromDerivatives	            파생상품관련수익	4,473,422,263		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련이익	4,711,489,233		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련이익	66,728,613,576		
