재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_ProceedsFromBonds	            사채의 증가	298,960,380,000		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_PurchaseOfInvestmentProperty	            투자부동산의 취득	2,765,400		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_CashAndCashEquivalentsAtBeginningOfPeriodCf	      기초현금및현금성자산	197,331,621,233		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashAndCashEquivalents	      기말현금및현금성자산	97,080,979,233		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashFlowsFromUsedInFinancingActivities	         재무활동으로부터의 현금흐름	297,036,429,934		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_DividendsPaidClassifiedAsFinancingActivities	            배당금의 지급	440,000,000		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities	            리스부채의 상환	1,483,950,066		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_RepaymentsOfSubordinatedLiabilities	            사채의 상환			
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashFlowsFromUsedInInvestingActivities	         투자활동으로부터의 현금흐름	-425,522,032,097		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_ProceedsFromDisposalOfFinancialAssetsAtFairValueThroughProfitOrLossClassifiedAsInvestingActivities	            당기손익-공정가치측정금융자산의 처분	110,614,450,147		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_ProceedsFromSalesOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융자산의처분	225,763,958,296		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융자산의취득	593,883,060,541		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_PurchaseOfFinancialAssetsAtFairValueThroughProfitOrLossClassifiedAsInvestingActivities	            당기손익-공정가치측정금융자산의 취득	152,293,007,792		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities	            종속기업주식의 처분	7,087,763,608		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities	            종속기업주식의 취득	0		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities	            위험회피목적파생상품의 정산	22,393,179,066		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProceedsFromOtherLongtermAssetsClassifiedAsInvestingActivities	            기타장기성자산의 처분	165,594,000		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities	            유형자산의 처분	1,950,171		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities	            무형자산의 취득	231,642,400		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_PurchaseOfOtherLongtermAssetsClassifiedAsInvestingActivities	            기타장기성자산의 취득	37,104,500		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities	            유형자산의 취득	314,988,620		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashFlowsFromUsedInOperatingActivities	         영업활동으로부터의 현금흐름	28,231,038,640		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities	            자산ㆍ부채의 증감	-49,128,689,977		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_AdjustmentsForReconcileProfitLoss	            손익조정사항	-13,311,550,744		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_DividendsReceivedClassifiedAsOperatingActivities	            배당금수입	2,064,092,166		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities	            법인세부담액	6,879,001,279		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_InterestPaidClassifiedAsOperatingActivities	            이자의 지급	9,771,676,068		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_InterestReceivedClassifiedAsOperatingActivities	            이자의 수취	67,709,209,696		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	            당기순이익(손실)	37,548,654,846		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents	      외화표시 현금및현금성자산에 대한 환율효과	3,921,523		
 현금흐름표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges	      현금및현금성자산의 감소	-100,254,563,523		
 현금흐름표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-03-31	1분기보고서	KRW	dart_CashAndCashEquivalentsAtBeginningOfPeriodCf	      기초현금및현금성자산	597,329,307,335		
 현금흐름표, 보험 - 별도	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashAndCashEquivalents	      분기말현금및현금성자산	377,966,770,843		
